,time,action,position,entry_price,close_price,profit,balance
0,2021-01-12,open,short,81.595,,,9999.9998
1,2021-01-13,close,neutral,,81.776,-18.09999999999974,9981.8996
2,2021-01-13,open,long,81.776,,,9981.8994
3,2021-01-15,close,neutral,,81.522,-25.399999999999068,9956.499200000002
4,2021-01-15,open,short,81.522,,,9956.499000000002
5,2021-01-19,close,neutral,,81.602,-7.9999999999998295,9948.498800000001
6,2021-01-19,open,long,81.602,,,9948.4986
7,2021-01-21,close,neutral,,81.893,29.09999999999968,9977.5984
8,2021-01-21,open,short,81.893,,,9977.5982
9,2021-01-26,close,neutral,,81.622,27.10000000000008,10004.698
10,2021-01-26,open,long,81.622,,,10004.6978
11,2021-01-27,close,neutral,,81.295,-32.69999999999982,9971.9976
12,2021-01-27,open,short,81.295,,,9971.9974
13,2021-01-29,close,neutral,,81.932,-63.700000000000045,9908.2972
14,2021-01-29,open,long,81.932,,,9908.297
15,2021-02-01,close,neutral,,81.643,-28.900000000000148,9879.3968
16,2021-02-01,open,short,81.643,,,9879.3966
17,2021-02-02,close,neutral,,82.123,-48.0000000000004,9831.3964
18,2021-02-02,open,long,82.123,,,9831.3962
19,2021-02-03,close,neutral,,82.134,1.099999999999568,9832.496
20,2021-02-03,open,short,82.134,,,9832.495799999999
21,2021-02-04,close,neutral,,82.298,-16.400000000000148,9816.095599999999
22,2021-02-04,open,long,82.298,,,9816.095399999998
23,2021-02-09,close,neutral,,82.36,6.199999999999761,9822.295199999999
24,2021-02-09,open,short,82.36,,,9822.294999999998
25,2021-02-12,close,neutral,,82.676,-31.60000000000025,9790.694799999997
26,2021-02-12,open,long,82.676,,,9790.694599999997
27,2021-02-17,close,neutral,,83.352,67.6000000000002,9858.294399999997
28,2021-02-17,open,short,83.352,,,9858.294199999997
29,2021-02-18,close,neutral,,83.356,-0.39999999999906777,9857.893999999998
30,2021-02-18,open,long,83.356,,,9857.893799999998
31,2021-02-22,close,neutral,,83.276,-7.9999999999998295,9849.893599999998
32,2021-02-22,open,short,83.276,,,9849.893399999997
33,2021-02-23,close,neutral,,83.611,-33.500000000000796,9816.393199999997
34,2021-02-23,open,long,83.611,,,9816.392999999996
35,2021-02-25,close,neutral,,84.233,62.19999999999999,9878.592799999997
36,2021-02-25,open,short,84.233,,,9878.592599999996
37,2021-03-01,close,neutral,,84.451,-21.79999999999893,9856.792399999997
38,2021-03-01,open,long,84.451,,,9856.792199999996
39,2021-03-02,close,neutral,,84.409,-4.199999999998738,9852.591999999997
40,2021-03-02,open,short,84.409,,,9852.591799999997
41,2021-03-03,close,neutral,,84.557,-14.799999999999613,9837.791599999997
42,2021-03-03,open,long,84.557,,,9837.791399999996
43,2021-03-09,close,neutral,,85.826,126.89999999999912,9964.691199999996
44,2021-03-09,open,short,85.826,,,9964.690999999995
45,2021-03-10,close,neutral,,85.896,-7.000000000000739,9957.690799999995
46,2021-03-10,open,long,85.896,,,9957.690599999994
47,2021-03-18,close,neutral,,87.198,130.19999999999925,10087.890399999993
48,2021-03-18,open,short,87.198,,,10087.890199999993
49,2021-03-26,close,neutral,,87.241,-4.300000000000637,10083.589999999991
50,2021-03-26,open,long,87.241,,,10083.58979999999
51,2021-04-02,close,neutral,,87.964,72.2999999999999,10155.889599999991
52,2021-04-02,open,short,87.964,,,10155.889399999991
53,2021-04-09,close,neutral,,87.495,46.89999999999941,10202.78919999999
54,2021-04-09,open,long,87.495,,,10202.78899999999
55,2021-04-12,close,neutral,,87.059,-43.600000000000705,10159.188799999989
56,2021-04-12,open,short,87.059,,,10159.188599999989
57,2021-04-16,close,neutral,,86.983,7.599999999999341,10166.788399999989
58,2021-04-16,open,long,86.983,,,10166.788199999988
59,2021-04-19,close,neutral,,86.296,-68.69999999999976,10098.087999999989
60,2021-04-19,open,short,86.296,,,10098.087799999988
61,2021-04-21,close,neutral,,86.467,-17.099999999999227,10080.98759999999
62,2021-04-21,open,long,86.467,,,10080.987399999989
63,2021-04-22,close,neutral,,86.355,-11.199999999999477,10069.78719999999
64,2021-04-22,open,short,86.355,,,10069.78699999999
65,2021-04-23,close,neutral,,86.461,-10.599999999999454,10059.18679999999
66,2021-04-23,open,long,86.461,,,10059.18659999999
67,2021-05-07,close,neutral,,89.539,307.8000000000003,10366.98639999999
68,2021-05-07,open,short,89.539,,,10366.98619999999
69,2021-05-10,close,neutral,,89.921,-38.2000000000005,10328.78599999999
70,2021-05-10,open,long,89.921,,,10328.785799999989
71,2021-05-11,close,neutral,,89.76,-16.100000000000136,10312.685599999988
72,2021-05-11,open,short,89.76,,,10312.685399999988
73,2021-05-12,close,neutral,,90.401,-64.09999999999911,10248.585199999989
74,2021-05-12,open,long,90.401,,,10248.584999999988
75,2021-05-13,close,neutral,,89.999,-40.2000000000001,10208.384799999989
76,2021-05-13,open,short,89.999,,,10208.384599999988
77,2021-05-14,close,neutral,,90.334,-33.500000000000796,10174.884399999988
78,2021-05-14,open,long,90.334,,,10174.884199999988
79,2021-05-18,close,neutral,,90.283,-5.100000000000193,10169.783999999987
80,2021-05-18,open,short,90.283,,,10169.783799999987
81,2021-05-27,close,neutral,,91.01,-72.70000000000039,10097.083599999985
82,2021-05-27,open,long,91.01,,,10097.083399999985
83,2021-05-28,close,neutral,,90.962,-4.800000000000182,10092.283199999985
84,2021-05-28,open,short,90.962,,,10092.282999999985
85,2021-06-02,close,neutral,,91.044,-8.199999999999363,10084.082799999986
86,2021-06-02,open,long,91.044,,,10084.082599999985
87,2021-06-04,close,neutral,,90.714,-32.99999999999983,10051.082399999985
88,2021-06-04,open,short,90.714,,,10051.082199999984
89,2021-06-14,close,neutral,,90.62,9.399999999999409,10060.481999999984
90,2021-06-14,open,long,90.62,,,10060.481799999983
91,2021-06-15,close,neutral,,90.336,-28.400000000000603,10032.081599999983
92,2021-06-15,open,short,90.336,,,10032.081399999983
93,2021-06-21,close,neutral,,89.231,110.5000000000004,10142.581199999982
94,2021-06-21,open,long,89.231,,,10142.580999999982
95,2021-06-24,close,neutral,,89.973,74.20000000000044,10216.780799999982
96,2021-06-24,open,short,89.973,,,10216.780599999982
97,2021-06-30,close,neutral,,89.635,33.799999999999386,10250.58039999998
98,2021-06-30,open,long,89.635,,,10250.58019999998
99,2021-07-01,close,neutral,,89.673,3.7999999999996703,10254.37999999998
100,2021-07-01,open,short,89.673,,,10254.379799999979
101,2021-07-02,close,neutral,,90.053,-37.999999999999545,10216.379599999978
102,2021-07-02,open,long,90.053,,,10216.379399999978
103,2021-07-05,close,neutral,,89.883,-17.00000000000017,10199.379199999978
104,2021-07-05,open,short,89.883,,,10199.378999999977
105,2021-07-09,close,neutral,,88.416,146.69999999999987,10346.078799999977
106,2021-07-09,open,long,88.416,,,10346.078599999977
107,2021-07-12,close,neutral,,88.619,20.300000000000296,10366.378399999978
108,2021-07-12,open,short,88.619,,,10366.378199999977
109,2021-07-20,close,neutral,,86.641,197.79999999999944,10564.177999999976
110,2021-07-20,open,long,86.641,,,10564.177799999976
111,2021-07-22,close,neutral,,87.699,105.79999999999927,10669.977599999975
112,2021-07-22,open,short,87.699,,,10669.977399999974
113,2021-07-23,close,neutral,,87.965,-26.600000000000534,10643.377199999974
114,2021-07-23,open,long,87.965,,,10643.376999999973
115,2021-07-27,close,neutral,,87.12,-84.49999999999989,10558.876799999973
116,2021-07-27,open,short,87.12,,,10558.876599999972
117,2021-07-28,close,neutral,,87.768,-64.79999999999961,10494.076399999973
118,2021-07-28,open,long,87.768,,,10494.076199999972
119,2021-07-29,close,neutral,,87.955,18.69999999999976,10512.775999999973
120,2021-07-29,open,short,87.955,,,10512.775799999972
121,2021-08-05,close,neutral,,87.818,13.700000000000045,10526.475599999972
122,2021-08-05,open,long,87.818,,,10526.475399999972
123,2021-08-06,close,neutral,,87.773,-4.5000000000001705,10521.975199999972
124,2021-08-06,open,short,87.773,,,10521.974999999971
125,2021-08-10,close,neutral,,88.303,-53.000000000000114,10468.97479999997
126,2021-08-10,open,long,88.303,,,10468.97459999997
127,2021-08-11,close,neutral,,88.295,-0.7999999999995566,10468.17439999997
128,2021-08-11,open,short,88.295,,,10468.17419999997
129,2021-08-23,close,neutral,,86.694,160.0999999999999,10628.27399999997
130,2021-08-23,open,long,86.694,,,10628.27379999997
131,2021-08-26,close,neutral,,86.792,9.799999999999898,10638.07359999997
132,2021-08-26,open,short,86.792,,,10638.07339999997
133,2021-08-27,close,neutral,,87.078,-28.600000000000136,10609.47319999997
134,2021-08-27,open,long,87.078,,,10609.472999999969
135,2021-08-30,close,neutral,,87.19,11.199999999999477,10620.67279999997
136,2021-08-30,open,short,87.19,,,10620.672599999969
137,2021-09-02,close,neutral,,87.594,-40.399999999999636,10580.272399999969
138,2021-09-02,open,long,87.594,,,10580.272199999969
139,2021-09-03,close,neutral,,87.56,-3.3999999999991815,10576.871999999968
