,time,action,position,entry_price,close_price,profit,balance
0,2021-02-18,open,long,1.77144,,,9999.9998
1,2021-02-19,close,neutral,,1.76674,-46.99999999999926,9952.999600000001
2,2021-02-19,open,short,1.76674,,,9952.9994
3,2021-02-22,close,neutral,,1.7740200000000002,-72.80000000000175,9880.1992
4,2021-02-22,open,long,1.7740200000000002,,,9880.198999999999
5,2021-02-24,close,neutral,,1.76938,-46.400000000001995,9833.798799999997
6,2021-02-24,open,short,1.76938,,,9833.798599999996
7,2021-02-26,close,neutral,,1.77319,-38.10000000000091,9795.698399999996
8,2021-02-26,open,long,1.77319,,,9795.698199999995
9,2021-03-01,close,neutral,,1.76065,-125.39999999999995,9670.297999999995
10,2021-03-01,open,short,1.76065,,,9670.297799999995
11,2021-03-02,close,neutral,,1.76431,-36.599999999999966,9633.697599999994
12,2021-03-02,open,long,1.76431,,,9633.697399999994
13,2021-03-04,close,neutral,,1.75985,-44.6000000000013,9589.097199999993
14,2021-03-04,open,short,1.75985,,,9589.096999999992
15,2021-03-08,close,neutral,,1.7501799999999998,96.70000000000067,9685.796799999993
16,2021-03-08,open,long,1.7501799999999998,,,9685.796599999992
17,2021-03-11,close,neutral,,1.75417,39.9000000000016,9725.696399999993
18,2021-03-11,open,short,1.75417,,,9725.696199999993
19,2021-03-17,close,neutral,,1.73212,220.49999999999903,9946.195999999993
20,2021-03-17,open,long,1.73212,,,9946.195799999992
21,2021-03-19,close,neutral,,1.73366,15.399999999998748,9961.595599999991
22,2021-03-19,open,short,1.73366,,,9961.595399999991
23,2021-03-22,close,neutral,,1.73636,-26.999999999999247,9934.595199999992
24,2021-03-22,open,long,1.73636,,,9934.594999999992
25,2021-03-23,close,neutral,,1.73081,-55.49999999999944,9879.094799999993
26,2021-03-23,open,short,1.73081,,,9879.094599999993
27,2021-03-25,close,neutral,,1.7317,-8.900000000000574,9870.194399999993
28,2021-03-25,open,long,1.7317,,,9870.194199999993
29,2021-03-31,close,neutral,,1.73146,-2.4000000000001798,9867.793999999993
30,2021-03-31,open,short,1.73146,,,9867.793799999992
31,2021-04-01,close,neutral,,1.7363,-48.39999999999955,9819.393599999992
32,2021-04-01,open,long,1.7363,,,9819.393399999992
33,2021-04-06,close,neutral,,1.73803,17.300000000000093,9836.693199999992
34,2021-04-06,open,short,1.73803,,,9836.692999999992
35,2021-04-12,close,neutral,,1.72705,109.7999999999999,9946.492799999993
36,2021-04-12,open,long,1.72705,,,9946.492599999992
37,2021-04-13,close,neutral,,1.72362,-34.30000000000044,9912.192399999993
38,2021-04-13,open,short,1.72362,,,9912.192199999992
39,2021-04-14,close,neutral,,1.72481,-11.900000000000244,9900.291999999992
40,2021-04-14,open,long,1.72481,,,9900.291799999992
41,2021-04-21,close,neutral,,1.74031,155.00000000000068,10055.291599999993
42,2021-04-21,open,short,1.74031,,,10055.291399999993
43,2021-04-23,close,neutral,,1.73229,80.19999999999916,10135.491199999991
44,2021-04-23,open,long,1.73229,,,10135.49099999999
45,2021-04-26,close,neutral,,1.72299,-93.00000000000085,10042.49079999999
46,2021-04-26,open,short,1.72299,,,10042.49059999999
47,2021-04-27,close,neutral,,1.72458,-15.899999999999803,10026.59039999999
48,2021-04-27,open,long,1.72458,,,10026.59019999999
49,2021-04-28,close,neutral,,1.71695,-76.30000000000025,9950.28999999999
50,2021-04-28,open,short,1.71695,,,9950.28979999999
51,2021-05-03,close,neutral,,1.70777,91.79999999999966,10042.089599999988
52,2021-05-03,open,long,1.70777,,,10042.089399999988
53,2021-05-04,close,neutral,,1.70844,6.699999999999484,10048.789199999988
54,2021-05-04,open,short,1.70844,,,10048.788999999988
55,2021-05-07,close,neutral,,1.69637,120.70000000000024,10169.488799999988
56,2021-05-07,open,long,1.69637,,,10169.488599999988
57,2021-05-12,close,neutral,,1.70494,85.69999999999966,10255.188399999988
58,2021-05-12,open,short,1.70494,,,10255.188199999988
