,time,action,position,entry_price,close_price,profit,balance
0,2019-09-03,open,short,1.19217,,,9999.9998
1,2019-09-04,close,neutral,,1.20153,-93.60000000000035,9906.399599999999
2,2019-09-04,open,long,1.20153,,,9906.399399999998
3,2019-09-12,close,neutral,,1.22097,194.40000000000123,10100.7992
4,2019-09-12,open,short,1.22097,,,10100.798999999999
5,2019-09-13,close,neutral,,1.23795,-169.79999999999995,9930.9988
6,2019-09-13,open,long,1.23795,,,9930.998599999999
7,2019-09-20,close,neutral,,1.23543,-25.200000000000777,9905.798399999998
8,2019-09-20,open,short,1.23543,,,9905.798199999997
9,2019-09-30,close,neutral,,1.22707,83.59999999999923,9989.397999999997
10,2019-09-30,open,long,1.22707,,,9989.397799999997
11,2019-10-08,close,neutral,,1.21346,-136.10000000000122,9853.297599999996
12,2019-10-08,open,short,1.21346,,,9853.297399999996
13,2019-10-09,close,neutral,,1.21528,-18.199999999999328,9835.097199999997
14,2019-10-09,open,long,1.21528,,,9835.096999999996
15,2019-10-24,close,neutral,,1.27492,596.4000000000013,10431.496799999997
16,2019-10-24,open,short,1.27492,,,10431.496599999997
17,2019-10-25,close,neutral,,1.27575,-8.299999999998864,10423.196399999997
18,2019-10-25,open,long,1.27575,,,10423.196199999997
19,2019-10-30,close,neutral,,1.27577,0.20000000000131024,10423.395999999999
20,2019-10-30,open,short,1.27577,,,10423.395799999998
21,2019-11-05,close,neutral,,1.27839,-26.199999999998447,10397.1956
22,2019-11-05,open,long,1.27839,,,10397.195399999999
23,2019-11-13,close,neutral,,1.27223,-61.59999999999943,10335.5952
24,2019-11-13,open,short,1.27223,,,10335.595
25,2019-11-14,close,neutral,,1.27309,-8.60000000000083,10326.994799999999
26,2019-11-14,open,long,1.27309,,,10326.994599999998
27,2019-11-22,close,neutral,,1.27915,60.59999999999954,10387.594399999998
28,2019-11-22,open,short,1.27915,,,10387.594199999998
29,2019-11-25,close,neutral,,1.2857,-65.50000000000055,10322.093999999997
