time,open,high,low,close,tick_volume,spread,real_volume,rolling_max_high,rolling_min_low,higher_highs,lower_highs,higher_lows,lower_lows,count_higher_highs,count_higher_lows,count_lower_highs,count_lower_lows,uptrend,downtrend,consolidation,last_higher_low,last_lower_high,breakdown_retest_persistence,breakout_retest_persistence,potential_breakdown_retest,potential_breakout_retest,confirm_breakdown_retest,confirm_breakout_retest
2024-01-22 16:00:00,1.08917,1.08963,1.08853,1.08897,4873,2,0,1.08996,1.088,False,True,True,False,0.0,2.0,5.0,3.0,False,True,False,1.08853,1.08963,True,False,False,False,False,False
2024-01-22 17:00:00,1.08895,1.08981,1.08825,1.08853,5187,2,0,1.08996,1.088,False,True,True,False,0.0,3.0,5.0,2.0,False,True,False,1.08825,1.08981,True,False,False,False,False,False
2024-01-22 18:00:00,1.08853,1.08943,1.08817,1.08938,3189,2,0,1.08996,1.088,False,True,True,False,0.0,4.0,5.0,1.0,False,True,False,1.08817,1.08943,True,False,False,False,False,False
2024-01-22 19:00:00,1.08941,1.09,1.08907,1.08963,2572,2,0,1.09,1.088,True,False,True,False,1.0,4.0,4.0,1.0,False,False,True,1.08907,1.08943,True,True,False,True,False,False
2024-01-22 20:00:00,1.08964,1.08964,1.08837,1.08902,2610,2,0,1.09,1.08817,False,True,True,False,1.0,5.0,4.0,0.0,True,False,False,1.08837,1.08964,False,True,False,False,False,False
2024-01-22 21:00:00,1.08901,1.0890900000000001,1.08803,1.0884800000000001,2581,2,0,1.09,1.08803,False,True,False,True,1.0,4.0,4.0,1.0,False,False,True,1.08837,1.0890900000000001,True,True,True,False,False,False
2024-01-22 22:00:00,1.08849,1.08855,1.08802,1.08842,2462,2,0,1.09,1.08802,False,True,False,True,1.0,3.0,4.0,2.0,False,True,False,1.08837,1.08855,True,True,True,False,False,False
2024-01-22 23:00:00,1.08842,1.08849,1.08815,1.0882,824,2,0,1.09,1.08802,False,True,True,False,1.0,3.0,4.0,2.0,False,True,False,1.08815,1.08849,True,True,False,False,False,False
2024-01-23 00:00:00,1.08828,1.08845,1.08795,1.0882,703,5,0,1.08964,1.08795,False,True,False,True,0.0,2.0,5.0,3.0,False,True,False,1.08815,1.08845,True,False,True,False,False,False
2024-01-23 01:00:00,1.0882,1.0882,1.08768,1.08773,865,2,0,1.0890900000000001,1.08768,False,True,False,True,0.0,1.0,5.0,4.0,False,True,False,1.08815,1.0882,True,False,True,False,False,False
2024-01-23 02:00:00,1.08773,1.08839,1.08755,1.08832,1139,2,0,1.08855,1.08755,False,True,False,True,0.0,1.0,5.0,4.0,False,True,False,1.08815,1.08839,True,False,True,False,True,False
2024-01-23 03:00:00,1.08829,1.08884,1.08766,1.08882,1736,2,0,1.08884,1.08755,True,False,True,False,1.0,2.0,4.0,3.0,False,True,False,1.08766,1.08839,True,True,False,True,False,False
2024-01-23 04:00:00,1.08883,1.08938,1.0884800000000001,1.08873,2287,2,0,1.08938,1.08755,True,False,True,False,2.0,2.0,3.0,3.0,False,True,False,1.0884800000000001,1.08839,True,True,False,True,False,False
2024-01-23 05:00:00,1.08875,1.08949,1.08853,1.08928,2946,2,0,1.08949,1.08755,True,False,True,False,3.0,3.0,2.0,2.0,True,False,False,1.08853,1.08839,True,True,False,True,False,False
2024-01-23 06:00:00,1.08928,1.08987,1.08916,1.08984,1306,2,0,1.08987,1.08755,True,False,True,False,4.0,4.0,1.0,1.0,True,False,False,1.08916,1.08839,True,True,False,True,False,False
2024-01-23 07:00:00,1.08984,1.09079,1.08967,1.09068,1705,2,0,1.09079,1.08766,True,False,True,False,5.0,5.0,0.0,0.0,True,False,False,1.08967,1.08839,False,True,False,True,False,False
2024-01-23 08:00:00,1.09068,1.09141,1.09015,1.09139,3171,2,0,1.09141,1.0884800000000001,True,False,True,False,5.0,5.0,0.0,0.0,True,False,False,1.09015,1.08839,False,True,False,True,False,False
2024-01-23 09:00:00,1.09137,1.09159,1.09036,1.09083,4527,2,0,1.09159,1.08853,True,False,True,False,5.0,5.0,0.0,0.0,True,False,False,1.09036,1.08839,False,True,False,True,False,False
2024-01-23 10:00:00,1.09083,1.09105,1.08922,1.08951,4192,2,0,1.09159,1.08916,False,True,True,False,4.0,5.0,1.0,0.0,True,False,False,1.08922,1.09105,False,True,False,False,False,False
2024-01-23 11:00:00,1.08951,1.08951,1.08837,1.08875,3627,2,0,1.09159,1.08837,False,True,False,True,3.0,4.0,2.0,1.0,True,False,False,1.08922,1.08951,True,True,True,False,False,False
2024-01-23 12:00:00,1.08874,1.08883,1.08673,1.08694,3317,2,0,1.09159,1.08673,False,True,False,True,2.0,3.0,3.0,2.0,False,False,True,1.08922,1.08883,True,True,True,False,False,False
2024-01-23 13:00:00,1.08694,1.08721,1.086,1.08664,3140,2,0,1.09159,1.086,False,True,False,True,1.0,2.0,4.0,3.0,False,True,False,1.08922,1.08721,True,True,True,False,False,False
2024-01-23 14:00:00,1.08664,1.08732,1.08603,1.08637,3327,2,0,1.09105,1.086,False,True,True,False,0.0,2.0,5.0,3.0,False,True,False,1.08603,1.08732,True,False,False,False,False,False
2024-01-23 15:00:00,1.08637,1.08758,1.08637,1.0874,3660,2,0,1.08951,1.086,False,True,True,False,0.0,2.0,5.0,3.0,False,True,False,1.08637,1.08758,True,False,False,False,False,False
2024-01-23 16:00:00,1.0874,1.0874,1.08484,1.08526,6039,2,0,1.08883,1.08484,False,True,False,True,0.0,2.0,5.0,3.0,False,True,False,1.08637,1.0874,True,False,True,False,False,False
2024-01-23 17:00:00,1.08527,1.08583,1.08215,1.08308,6272,2,0,1.08758,1.08215,False,True,False,True,0.0,2.0,5.0,3.0,False,True,False,1.08637,1.08583,True,False,True,False,False,False
2024-01-23 18:00:00,1.0830899999999999,1.08394,1.08257,1.0828,4455,2,0,1.08758,1.08215,False,True,True,False,0.0,3.0,5.0,2.0,False,True,False,1.08257,1.08394,True,False,False,False,False,False
2024-01-23 19:00:00,1.0828,1.08356,1.08245,1.08313,3137,2,0,1.08758,1.08215,False,True,True,False,0.0,3.0,5.0,2.0,False,True,False,1.08245,1.08356,True,False,False,False,False,False
2024-01-23 20:00:00,1.08314,1.08393,1.08302,1.0836999999999999,2615,2,0,1.0874,1.08215,False,True,True,False,0.0,3.0,5.0,2.0,False,True,False,1.08302,1.08393,True,False,False,False,False,False
2024-01-23 21:00:00,1.08371,1.08476,1.08358,1.08451,2032,2,0,1.08583,1.08215,False,True,True,False,0.0,4.0,5.0,1.0,False,True,False,1.08358,1.08476,True,False,False,False,False,False
2024-01-23 22:00:00,1.08451,1.08502,1.08436,1.08497,1701,2,0,1.08502,1.08245,False,True,True,False,0.0,5.0,5.0,0.0,False,False,True,1.08436,1.08502,False,False,False,False,False,False
2024-01-23 23:00:00,1.08497,1.08559,1.0848200000000001,1.08533,1077,2,0,1.08559,1.08245,True,False,True,False,1.0,5.0,4.0,0.0,True,False,False,1.0848200000000001,1.08502,False,True,False,True,False,False
2024-01-24 00:00:00,1.08449,1.08548,1.08449,1.08533,678,5,0,1.08559,1.08302,False,True,True,False,1.0,5.0,4.0,0.0,True,False,False,1.08449,1.08548,False,True,False,False,False,False
2024-01-24 01:00:00,1.08533,1.08593,1.0853,1.08573,569,2,0,1.08593,1.08358,True,False,True,False,2.0,5.0,3.0,0.0,True,False,False,1.0853,1.08548,False,True,False,True,False,False
2024-01-24 02:00:00,1.08573,1.08597,1.08552,1.08559,1413,2,0,1.08597,1.08436,True,False,True,False,3.0,5.0,2.0,0.0,True,False,False,1.08552,1.08548,False,True,False,True,False,False
2024-01-24 03:00:00,1.08559,1.08595,1.08512,1.0858,2567,2,0,1.08597,1.08449,False,True,True,False,3.0,5.0,2.0,0.0,True,False,False,1.08512,1.08595,False,True,False,False,False,False
2024-01-24 04:00:00,1.0858,1.08584,1.08532,1.0857,1744,2,0,1.08597,1.08449,False,True,True,False,2.0,5.0,3.0,0.0,True,False,False,1.08532,1.08584,False,True,False,False,False,False
2024-01-24 05:00:00,1.0857,1.08613,1.08565,1.0859,1586,2,0,1.08613,1.08512,True,False,True,False,3.0,5.0,2.0,0.0,True,False,False,1.08565,1.08584,False,True,False,True,False,False
2024-01-24 06:00:00,1.0859,1.0866,1.08582,1.08646,1294,2,0,1.0866,1.08512,True,False,True,False,3.0,5.0,2.0,0.0,True,False,False,1.08582,1.08584,False,True,False,True,False,False
2024-01-24 07:00:00,1.08646,1.08646,1.08592,1.08619,1283,2,0,1.0866,1.08512,False,True,True,False,2.0,5.0,3.0,0.0,True,False,False,1.08592,1.08646,False,True,False,False,False,False
2024-01-24 08:00:00,1.08619,1.0866500000000001,1.08606,1.08632,1783,2,0,1.0866500000000001,1.08532,True,False,True,False,3.0,5.0,2.0,0.0,True,False,False,1.08606,1.08646,False,True,False,True,False,False
2024-01-24 09:00:00,1.08632,1.08794,1.08602,1.0873599999999999,3787,2,0,1.08794,1.08565,True,False,True,False,4.0,5.0,1.0,0.0,True,False,False,1.08602,1.08646,False,True,False,True,False,True
2024-01-24 10:00:00,1.08734,1.08799,1.08624,1.08698,5770,2,0,1.08799,1.08582,True,False,True,False,4.0,5.0,1.0,0.0,True,False,False,1.08624,1.08646,False,True,False,True,False,False
2024-01-24 11:00:00,1.08704,1.09076,1.08695,1.09028,5302,2,0,1.09076,1.08592,True,False,True,False,4.0,5.0,1.0,0.0,True,False,False,1.08695,1.08646,False,True,False,True,False,False
2024-01-24 12:00:00,1.09028,1.09048,1.08933,1.08976,3937,2,0,1.09076,1.08602,False,True,True,False,4.0,5.0,1.0,0.0,True,False,False,1.08933,1.09048,False,True,False,False,False,False
2024-01-24 13:00:00,1.08976,1.09015,1.08907,1.08926,2985,2,0,1.09076,1.08602,False,True,True,False,3.0,5.0,2.0,0.0,True,False,False,1.08907,1.09015,False,True,False,False,False,False
2024-01-24 14:00:00,1.08926,1.08992,1.08873,1.08947,3775,2,0,1.09076,1.08624,False,True,True,False,2.0,5.0,3.0,0.0,True,False,False,1.08873,1.08992,False,True,False,False,False,False
2024-01-24 15:00:00,1.08946,1.09271,1.08934,1.0925,5587,2,0,1.09271,1.08695,True,False,True,False,2.0,5.0,3.0,0.0,True,False,False,1.08934,1.08992,False,True,False,True,False,False
2024-01-24 16:00:00,1.0925,1.09324,1.0901399999999999,1.09032,7809,2,0,1.09324,1.08873,True,False,True,False,2.0,5.0,3.0,0.0,True,False,False,1.0901399999999999,1.08992,False,True,False,True,False,False
2024-01-24 17:00:00,1.09032,1.0907499999999999,1.08932,1.09008,7859,2,0,1.09324,1.08873,False,True,True,False,2.0,5.0,3.0,0.0,True,False,False,1.08932,1.0907499999999999,False,True,False,False,False,False
2024-01-24 18:00:00,1.09008,1.09052,1.08904,1.09005,6113,2,0,1.09324,1.08873,False,True,True,False,2.0,5.0,3.0,0.0,True,False,False,1.08904,1.09052,False,True,False,False,False,False
2024-01-24 19:00:00,1.09005,1.09086,1.0895299999999999,1.09052,3460,2,0,1.09324,1.08904,False,True,True,False,2.0,5.0,3.0,0.0,True,False,False,1.0895299999999999,1.09086,False,True,False,False,False,False
2024-01-24 20:00:00,1.09052,1.09059,1.08902,1.08927,4713,2,0,1.09324,1.08902,False,True,False,True,1.0,4.0,4.0,1.0,False,False,True,1.0895299999999999,1.09059,True,True,True,False,False,False
2024-01-24 21:00:00,1.08927,1.08932,1.08813,1.08884,3313,2,0,1.09086,1.08813,False,True,False,True,0.0,3.0,5.0,2.0,False,True,False,1.0895299999999999,1.08932,True,False,True,False,False,False
2024-01-24 22:00:00,1.08884,1.08905,1.08791,1.08799,2930,2,0,1.09086,1.08791,False,True,False,True,0.0,2.0,5.0,3.0,False,True,False,1.0895299999999999,1.08905,True,False,True,False,False,False
2024-01-24 23:00:00,1.08797,1.08847,1.08775,1.08846,1078,2,0,1.09086,1.08775,False,True,False,True,0.0,1.0,5.0,4.0,False,True,False,1.0895299999999999,1.08847,True,False,True,False,False,False
2024-01-25 00:00:00,1.08839,1.08863,1.08812,1.0884800000000001,743,7,0,1.09059,1.08775,False,True,True,False,0.0,1.0,5.0,4.0,False,True,False,1.08812,1.08863,True,False,False,False,False,False
2024-01-25 01:00:00,1.0884800000000001,1.08865,1.08809,1.0881,764,2,0,1.08932,1.08775,False,True,True,False,0.0,2.0,5.0,3.0,False,True,False,1.08809,1.08865,True,False,False,False,False,False
2024-01-25 02:00:00,1.0881,1.08812,1.0872,1.08741,2079,2,0,1.08905,1.0872,False,True,False,True,0.0,2.0,5.0,3.0,False,True,False,1.08809,1.08812,True,False,True,False,False,False
2024-01-25 03:00:00,1.0874,1.0878700000000001,1.08702,1.08775,2671,2,0,1.08865,1.08702,False,True,False,True,0.0,2.0,5.0,3.0,False,True,False,1.08809,1.0878700000000001,True,False,True,False,False,False
2024-01-25 04:00:00,1.08776,1.08799,1.08748,1.08772,1911,2,0,1.08865,1.08702,False,True,True,False,0.0,3.0,5.0,2.0,False,True,False,1.08748,1.08799,True,False,False,False,False,False
2024-01-25 05:00:00,1.08771,1.08818,1.08771,1.08778,1262,2,0,1.08865,1.08702,False,True,True,False,0.0,3.0,5.0,2.0,False,True,False,1.08771,1.08818,True,False,False,False,False,False
2024-01-25 06:00:00,1.08778,1.08813,1.08744,1.08757,1238,2,0,1.08818,1.08702,False,True,True,False,0.0,3.0,5.0,2.0,False,True,False,1.08744,1.08813,True,False,False,False,False,False
2024-01-25 07:00:00,1.08756,1.08789,1.08747,1.08782,1141,2,0,1.08818,1.08702,False,True,True,False,0.0,4.0,5.0,1.0,False,True,False,1.08747,1.08789,True,False,False,False,False,False
2024-01-25 08:00:00,1.08783,1.08865,1.08756,1.08862,1446,2,0,1.08865,1.08744,True,False,True,False,1.0,5.0,4.0,0.0,True,False,False,1.08756,1.08789,False,True,False,True,False,False
2024-01-25 09:00:00,1.08862,1.08914,1.0884,1.08879,2745,2,0,1.08914,1.08744,True,False,True,False,2.0,5.0,3.0,0.0,True,False,False,1.0884,1.08789,False,True,False,True,False,False
2024-01-25 10:00:00,1.08877,1.08995,1.08829,1.08988,4589,2,0,1.08995,1.08744,True,False,True,False,3.0,5.0,2.0,0.0,True,False,False,1.08829,1.08789,False,True,False,True,False,False
2024-01-25 11:00:00,1.08989,1.08997,1.08916,1.08958,4050,2,0,1.08997,1.08747,True,False,True,False,4.0,5.0,1.0,0.0,True,False,False,1.08916,1.08789,False,True,False,True,False,False
2024-01-25 12:00:00,1.08958,1.08987,1.08918,1.08928,3165,2,0,1.08997,1.08756,False,True,True,False,4.0,5.0,1.0,0.0,True,False,False,1.08918,1.08987,False,True,False,False,False,False
2024-01-25 13:00:00,1.08929,1.0895299999999999,1.08866,1.08947,2550,2,0,1.08997,1.08829,False,True,True,False,3.0,5.0,2.0,0.0,True,False,False,1.08866,1.0895299999999999,False,True,False,False,False,False
2024-01-25 14:00:00,1.08947,1.08957,1.08857,1.08881,2639,2,0,1.08997,1.08829,False,True,True,False,2.0,5.0,3.0,0.0,True,False,False,1.08857,1.08957,False,True,False,False,False,False
2024-01-25 15:00:00,1.08881,1.09017,1.08668,1.08788,9481,2,0,1.09017,1.08668,True,False,False,True,2.0,4.0,3.0,1.0,True,False,False,1.08857,1.08957,True,True,True,True,True,True
2024-01-25 16:00:00,1.08791,1.08791,1.08528,1.08603,10272,2,0,1.09017,1.08528,False,True,False,True,1.0,3.0,4.0,2.0,False,True,False,1.08857,1.08791,True,True,True,False,False,False
2024-01-25 17:00:00,1.08601,1.08613,1.08291,1.08317,8185,2,0,1.09017,1.08291,False,True,False,True,1.0,2.0,4.0,3.0,False,True,False,1.08857,1.08613,True,True,True,False,False,False
2024-01-25 18:00:00,1.08317,1.08397,1.0824,1.08362,4860,2,0,1.09017,1.0824,False,True,False,True,1.0,1.0,4.0,4.0,False,True,False,1.08857,1.08397,True,True,True,False,False,False
2024-01-25 19:00:00,1.08362,1.08518,1.08312,1.08374,4741,2,0,1.09017,1.0824,False,True,True,False,1.0,1.0,4.0,4.0,False,True,False,1.08312,1.08518,True,True,False,False,False,False
2024-01-25 20:00:00,1.08374,1.08466,1.08298,1.083,4845,2,0,1.08791,1.0824,False,True,True,False,0.0,2.0,5.0,3.0,False,True,False,1.08298,1.08466,True,False,False,False,False,False
2024-01-25 21:00:00,1.083,1.08376,1.08215,1.08359,3532,2,0,1.08613,1.08215,False,True,False,True,0.0,2.0,5.0,3.0,False,True,False,1.08298,1.08376,True,False,True,False,False,False
2024-01-25 22:00:00,1.08358,1.08404,1.08333,1.08397,2803,2,0,1.08518,1.08215,False,True,True,False,0.0,3.0,5.0,2.0,False,True,False,1.08333,1.08404,True,False,False,False,False,False
2024-01-25 23:00:00,1.08398,1.0848,1.0839,1.08473,944,2,0,1.08518,1.08215,False,True,True,False,0.0,4.0,5.0,1.0,False,True,False,1.0839,1.0848,True,False,False,False,False,False
2024-01-26 00:00:00,1.08421,1.08472,1.08401,1.08465,825,5,0,1.0848,1.08215,False,True,True,False,0.0,4.0,5.0,1.0,False,True,False,1.08401,1.08472,True,False,False,False,False,False
2024-01-26 01:00:00,1.08465,1.08476,1.08427,1.08455,1149,2,0,1.0848,1.08215,False,True,True,False,0.0,4.0,5.0,1.0,False,True,False,1.08427,1.08476,True,False,False,False,False,False
2024-01-26 02:00:00,1.08455,1.08459,1.08374,1.08397,1532,2,0,1.0848,1.08333,False,True,True,False,0.0,5.0,5.0,0.0,False,False,True,1.08374,1.08459,False,False,False,False,False,False
2024-01-26 03:00:00,1.08398,1.08467,1.08389,1.08444,2320,2,0,1.0848,1.08374,False,True,True,False,0.0,5.0,5.0,0.0,False,False,True,1.08389,1.08467,False,False,False,False,False,False
2024-01-26 04:00:00,1.08444,1.08489,1.08438,1.08441,1543,2,0,1.08489,1.08374,True,False,True,False,1.0,5.0,4.0,0.0,True,False,False,1.08438,1.08467,False,True,False,True,False,False
2024-01-26 05:00:00,1.08441,1.08475,1.08438,1.08451,1041,2,0,1.08489,1.08374,False,True,True,False,1.0,5.0,4.0,0.0,True,False,False,1.08438,1.08475,False,True,False,False,False,False
2024-01-26 06:00:00,1.08451,1.08451,1.08378,1.08396,1099,2,0,1.08489,1.08374,False,True,True,False,1.0,5.0,4.0,0.0,True,False,False,1.08378,1.08451,False,True,False,False,False,False
2024-01-26 07:00:00,1.08394,1.08437,1.08383,1.08424,1338,2,0,1.08489,1.08378,False,True,True,False,1.0,5.0,4.0,0.0,True,False,False,1.08383,1.08437,False,True,False,False,False,False
2024-01-26 08:00:00,1.08424,1.08426,1.08285,1.08292,2332,2,0,1.08489,1.08285,False,True,False,True,1.0,4.0,4.0,1.0,False,False,True,1.08383,1.08426,True,True,True,False,False,False
2024-01-26 09:00:00,1.08292,1.08304,1.08128,1.08194,4066,2,0,1.08475,1.08128,False,True,False,True,0.0,3.0,5.0,2.0,False,True,False,1.08383,1.08304,True,False,True,False,False,False
2024-01-26 10:00:00,1.08193,1.0842,1.08173,1.084,4836,2,0,1.08451,1.08128,False,True,True,False,0.0,3.0,5.0,2.0,False,True,False,1.08173,1.0842,True,False,False,False,False,False
2024-01-26 11:00:00,1.08401,1.08505,1.0834,1.08441,4658,2,0,1.08505,1.08128,True,False,True,False,1.0,3.0,4.0,2.0,False,True,False,1.0834,1.0842,True,True,False,True,False,False
2024-01-26 12:00:00,1.08442,1.08662,1.08442,1.08647,3290,2,0,1.08662,1.08128,True,False,True,False,2.0,3.0,3.0,2.0,False,False,True,1.08442,1.0842,True,True,False,True,False,False
2024-01-26 13:00:00,1.08648,1.08761,1.08643,1.08745,3899,2,0,1.08761,1.08128,True,False,True,False,3.0,4.0,2.0,1.0,True,False,False,1.08643,1.0842,True,True,False,True,False,False
2024-01-26 14:00:00,1.08745,1.08757,1.08656,1.08673,2880,2,0,1.08761,1.08173,False,True,True,False,3.0,5.0,2.0,0.0,True,False,False,1.08656,1.08757,False,True,False,False,False,False
2024-01-26 15:00:00,1.08674,1.08855,1.08562,1.08719,7146,2,0,1.08855,1.0834,True,False,True,False,4.0,5.0,1.0,0.0,True,False,False,1.08562,1.08757,False,True,False,True,False,True
2024-01-26 16:00:00,1.08719,1.08803,1.08609,1.08738,6562,2,0,1.08855,1.08442,False,True,True,False,3.0,5.0,2.0,0.0,True,False,False,1.08609,1.08803,False,True,False,False,False,False
2024-01-26 17:00:00,1.08734,1.08734,1.08551,1.0864,6561,2,0,1.08855,1.08551,False,True,True,False,2.0,5.0,3.0,0.0,True,False,False,1.08551,1.08734,False,True,False,False,False,False
2024-01-26 18:00:00,1.0864,1.08694,1.08588,1.0865,4077,2,0,1.08855,1.08551,False,True,True,False,1.0,5.0,4.0,0.0,True,False,False,1.08588,1.08694,False,True,False,False,False,False
2024-01-26 19:00:00,1.0865,1.08704,1.08591,1.08637,3259,2,0,1.08855,1.08551,False,True,True,False,1.0,5.0,4.0,0.0,True,False,False,1.08591,1.08704,False,True,False,False,False,False
2024-01-26 20:00:00,1.08636,1.08659,1.08537,1.08558,2967,2,0,1.08803,1.08537,False,True,False,True,0.0,4.0,5.0,1.0,False,True,False,1.08591,1.08659,True,False,True,False,False,False
2024-01-26 21:00:00,1.08558,1.08617,1.08552,1.08581,2073,2,0,1.08734,1.08537,False,True,True,False,0.0,4.0,5.0,1.0,False,True,False,1.08552,1.08617,True,False,False,False,False,False
2024-01-26 22:00:00,1.08584,1.08621,1.08532,1.0854300000000001,1887,2,0,1.08704,1.08532,False,True,False,True,0.0,3.0,5.0,2.0,False,True,False,1.08552,1.08621,True,False,True,False,True,False
2024-01-26 23:00:00,1.08542,1.08567,1.08519,1.08528,869,2,0,1.08704,1.08519,False,True,False,True,0.0,2.0,5.0,3.0,False,True,False,1.08552,1.08567,True,False,True,False,False,False
2024-01-29 00:00:00,1.08428,1.08466,1.0841,1.08429,825,11,0,1.08659,1.0841,False,True,False,True,0.0,1.0,5.0,4.0,False,True,False,1.08552,1.08466,True,False,True,False,False,False
2024-01-29 01:00:00,1.08429,1.08491,1.08417,1.08423,1155,2,0,1.08621,1.0841,False,True,True,False,0.0,2.0,5.0,3.0,False,True,False,1.08417,1.08491,True,False,False,False,False,False
2024-01-29 02:00:00,1.08423,1.0845,1.08413,1.08449,1026,2,0,1.08621,1.0841,False,True,True,False,0.0,2.0,5.0,3.0,False,True,False,1.08413,1.0845,True,False,False,False,False,False
2024-01-29 03:00:00,1.08448,1.08489,1.08434,1.08439,1441,2,0,1.08567,1.0841,False,True,True,False,0.0,3.0,5.0,2.0,False,True,False,1.08434,1.08489,True,False,False,False,False,False
2024-01-29 04:00:00,1.0844,1.08452,1.08393,1.08434,1126,2,0,1.08491,1.08393,False,True,False,True,0.0,3.0,5.0,2.0,False,True,False,1.08434,1.08452,True,False,True,False,False,False
2024-01-29 05:00:00,1.08436,1.08466,1.08424,1.08451,995,2,0,1.08491,1.08393,False,True,True,False,0.0,4.0,5.0,1.0,False,True,False,1.08424,1.08466,True,False,False,False,False,False
2024-01-29 06:00:00,1.08451,1.08476,1.08438,1.08446,862,2,0,1.08489,1.08393,False,True,True,False,0.0,4.0,5.0,1.0,False,True,False,1.08438,1.08476,True,False,False,False,False,False
2024-01-29 07:00:00,1.08446,1.08451,1.08395,1.08399,1235,2,0,1.08489,1.08393,False,True,True,False,0.0,4.0,5.0,1.0,False,True,False,1.08395,1.08451,True,False,False,False,False,False
2024-01-29 08:00:00,1.08399,1.08472,1.08392,1.08465,1388,2,0,1.08476,1.08392,False,True,False,True,0.0,3.0,5.0,2.0,False,True,False,1.08395,1.08472,True,False,True,False,True,False
2024-01-29 09:00:00,1.08465,1.085,1.08349,1.08371,3260,2,0,1.085,1.08349,True,False,False,True,1.0,3.0,4.0,2.0,False,True,False,1.08395,1.08472,True,True,True,True,True,True
2024-01-29 10:00:00,1.08371,1.08419,1.0833,1.08347,3407,2,0,1.085,1.0833,False,True,False,True,1.0,2.0,4.0,3.0,False,True,False,1.08395,1.08419,True,True,True,False,False,False
2024-01-29 11:00:00,1.08346,1.08355,1.0823,1.08251,3400,2,0,1.085,1.0823,False,True,False,True,1.0,1.0,4.0,4.0,False,True,False,1.08395,1.08355,True,True,True,False,False,False
